EnglishName,Family,fk_GuildID,fk_LengthWeightID,Genus,LocalName,Notes,Order,pk_SpeciesID,ScientificName,SpeciesCode
Long-finned garfish,,,,,Anaororo,,,397,Euleptorhanphys viridis,
Smooth flutemouth,,,,,Kekerikaki,,,398,Fistularia petimba,
Tiger fish,,,,,Rokea,,,399,Galeocerda cuvieri,
Silver biddy,,,,,"Amori, Ninimai",,,400,Gerres oyena,
"SHARK, large general",,,,,Bakoa,,,402,Ginglymostoma ferrugineum,
Large-eyed bream,,,,,Baamaii,,,404,Gnathodentex mossambicus,
Gobies,,,,,Ntarema,,,405,Gobiidae spp.,
Salmon mackerel,,,,,Kimokimo,,,406,Grammatoroynus bicarinatus,
Iodine bream,,,,,Kontiba,,,407,Gymnocranius japonicus,
Dogtooth tuna,,,,,Buari (Nnatiati),,,408,Gymnosarda nuda,
Goldspot herring,,,,,Tarabuti,,,410,Herklotsichthys punctatus,
Stingray,,,,,Maii,,,411,Himantura sp.,
Scarlet Squirrelfish,,,,,Taa,,,412,Holocentrus spinifer,
Violet squirrel fish,,,,,Bureinawa,,,413,Holocentrus violaceus,
Garfish,,,,,Kaabubu,,,414,Hyporhamphus laticeps,
Pacific sailfish,,,,,Rakuriri,,,415,Istiophorus platypterus,
Skipjack tuna,,,,,Ati,,,416,Katsuwonus pelamis,
Cowfish,,,,,Toaaua,,,418,Lactoria cornuta,
Long-faced emperor,,,,,"Ikamatoa, Rou (Taabou)",,,419,Lethrinus miniatus,
Spangled emperor,,,,,Morikoi,,,421,Lethrinus nebulosus,
Reticulated emperor,,,,,Maoko,,,422,Lethrinus reticulates,
Variegated Emperor,,,,,Roubaneawa,,,423,Lethrinus variegatus,
Trochel's mullet,,,,,Bwauamaran,,,424,Liza macrolepis,
Diamond-scaled grey mullet,,,,,Bwauamaran,,,425,Liza vaigenises,
Mangrove red snapper,,,,,Ingo,,,426,Lutjanus argentimaculatus,
Two spot red-snapper,,,,,Boingo,,,427,Lutjanus bohar (juvenile),
Yellow-streaked Sea - perch,,,,,Takabe,,,428,Lutjanus janthinopterus,
Big eye snapper,,,,,Takabe,,,429,Lutjanus lincolatus,
Rufous sea-perch,,,,,Bwaweina,,,431,Lutjanus rufollneatus,
Russells snapper,,,,,Bwaweina,,,432,Lutjanus russelli,
Mullet,,,,,Aua,,,433,Mugilidae (adult),
Arabian pike-eel,,,,,Nimaninaba,,,434,Muraenesox cinereus,
Spotted snake-eel,,,,,Imoone,,,435,Myricthus maculosus,
Lobster,,,,,Nnewe,,,436,Panulirus lobster,
Blackside hawkfish,,,,,Bibi,,,437,Paracirrikites forstevi,
Needlefish,,,,,Mwake,,,441,Platybelone argalus,
Blue spotted sea-perch,,,,,Bukitaakeiau,,,442,Plectropomus leopardus,
Broad-banded hardy-head,,,,,Rerekoti,,,443,Pranesus pinguis,
Lunar-tailed bullseye,,,,,Montaibakoa,,,444,Priacanthus cruentatus,
Gold-tailed jobfish,,,,,Buki-iaro,,,445,Pristipomoides auricilla,
Rosy jobfish,,,,,Buki-touti,,,446,Pristipomoides filamentosus,
Yellow jobfish,,,,,Buki-niti,,,447,Pristipomoides flavipinnis,
Purple-cheeked jobfish,,,,,Buki-mouta,,,448,Pristipomoides multidens,
Banded flower snapper,,,,,Ikabaun,,,449,Pristipomoides zomatus,
Snake mackerel,,,,,Tauri,,,450,Promethichthys prometheus,
Castor-oil fish,,,,,Ikanenea,,,451,Ruvettus pretiosus,
Long billed garfish,,,,,Anaa,,,452,Rynchorhamphus georgi,
Queenfish,,,,,Nari,,,453,Scombroides lysan,
Big eye scad,,,,,Barii,,,454,Selar crumenopthalamus,
Amberjack,,,,,Tieriora,,,455,Seriola rivoliana,
Rabbit faced spinefoot,,,,,Imnai,,,456,Siganus rostratus,
Seaworm,,,,,Ibo,,,457,Sipunculus indicus,
Hammerhead shark,,,,,Anoi,,,458,Sphyrna lewine,
Blue-backed sprat,,,,,Auan,,,459,Spratelloides delicatus,
Longtom,,,,,Tau,,,460,Strongylura incisa,
Reef stonefish,,,,,Nou,,,461,Synanceicthys verrucosus,
Black-spotted swallo-tail,,,,,Ikanarina,,,464,Trachinotus bailloni,
Choram long-tom,,,,,Raubara,,,465,Tylosaurus crocodilus,
Bar-tailed goatfish,,,,,Maebo,,,466,Upeneus taenopterus,
Blue-spot mullet,,,,,Bwaua,,,467,Valamugil seheli,
Swordfish,,,,,Rakuika,,,468,Xyphias gladius (linnaeus),
,,,73,,,,,470,Cephalopholis sonnerati,CE.SONN
,,,83,,,,,471,Cheilio inermis,CH.INER
,,,91,,,,,472,Chromis atripes,CH.ATRI
One-spot sea-perch,,,199,,Bwaweina,,,473,Lutjanus monostigma,LU.MONO
,,10,224,,,,,474,Nemateleotris magnifica,NE.MAGN
,,,227,,,,,475,Novaculichthys taeniourus,NO.TAEN
,,2,310,,,,,478,Sebastapistes sp,SEBA.SP
,,,314,,,,,479,Sphyrna sp,SPYR.SP
,,,,,,,,481,Unknown,
Longspine Black Urchin,,,,,,,,482,Diadema savignyi,URCH
Turf Algae,,,,,,,,483,,TURF
Hawkfish,,,,,,check species code,,484,,PAR.SP
Tang,,,,,,,,485,,TANG
,,,,,,,,486,,PS.PASC
,,,,,,check species code,,487,,ACA NIGC
,,,,,,want to recode?,,488,,Caulerpa
,,,,,,want to recode?,,489,,"Halimeda, large"
,,,,,,want to recode?,,490,,"Halimeda, small"
,,,,,,,,491,Lutjanus fulviflamma,
,,,,,,,,492,,AC.TRIOS
,,,,,,,,493,,MACRO
Blacktip shark,,,,,,,,494,Carcharhinus limbatus,CA.LIMB
,,,,,,Unidentified shark,,495,Unidentified shark,SHARK.SP
